Flag,H2O,Iron,K,G,Rho,Author
1,0,0,181,124.2,3558,Weidner et al.(1984)
1,0,0,185,120.4,3559,Jackson et al.(2000)
1,0,0,185,120,3559,Li (2003)
1,0,0,185,120,3701,Sinogeikin et al.(2005)
1,0,0.09,185.1,118.2,3700,Mayama et al.(2005)
1,0,0.09,186.2,118.5,3690,Higo et al.(2008)
1,0,0.2,187,116,3798,Higo et al.(2006)
1,0,0.25,193,113,3878,Sinogeikin et al.(1997)
1,0,0.5,191,102,4196,Higo et al.(2006)
0,0,1,204.5,73.6,4846,Liu et al.(2008)
1,2.3,0,166.2,107.6,3433,Wang et al.(2003;2006)
1,0.89,0.11,177,103,3660,Jacobsen and Smyth(2006)
1,1.1,0.14,175,106,3649,Mao et al.(2012)
1,0,0,186.38,123.3,3564.14,stix
1,0,1,215.47,92.3,4870.47,
