#  R			g		Pressure
   2.6200008       6.20734245E-02   57606.9336    
   45.2400017      0.155181170       36003.7500    
   67.8610001      0.241390258       24890.4238    
   90.4810028      0.325863957       18900.4883    
   113.101006      0.409637809       15206.0254    
   135.721008      0.493054152       12709.9824    
   158.341003      0.576258242       10913.6221    
   180.962006      0.659325063       9559.95117    
   203.582016      0.742285848       8503.80371    
   226.202011      0.825166225       7656.96826    
   248.822006      0.907979548       6962.92383    
   271.442017      0.990733624       6383.77490    
   294.063019       1.07343674       5893.16699    
   316.683014       1.15608430       5472.27588    
   339.303009       1.23868108       5107.20166    
   361.923004       1.32122767       4787.52490    
   384.543030       1.40372348       4505.26025    
   407.164032       1.48617148       4254.18115    
   429.784027       1.56856298       4029.39673    
   452.404022       1.65090013       3826.96045    
   475.024017       1.73318124       3643.68555    
   497.644012       1.81540489       3476.96436    
   520.265015       1.89757228       3324.63110    
   542.885010       1.97967434       3184.90356    
   565.505005       2.06171227       3056.26221    
   588.125000       2.14368486       2937.42969    
   610.745056       2.22558880       2827.31348    
   633.366028       2.30742598       2724.97754    
   655.986023       2.38918614       2629.62354    
   678.606018       2.47087121       2540.54858    
   701.226013       2.55247879       2457.14526    
   723.846008       2.63400626       2378.88013    
   746.467041       2.71545506       2305.28223    
   769.087036       2.79681492       2235.94458    
   791.707031       2.87808800       2170.49927    
   814.327026       2.95927167       2108.61987    
   836.947021       3.04036236       2050.01611    
   859.568054       3.12136269       1994.42725    
   882.188049       3.20226145       1941.62427    
   904.808044       3.28306127       1891.39539    
   927.428040       3.36375833       1843.55127    
   950.048035       3.44435167       1797.92029    
   972.669067       3.52484107       1754.34619    
   995.289062       3.60521698       1712.69080    
   1017.90906       3.68548131       1672.82434    
   1040.52905       3.76563096       1634.62817    
   1063.14905       3.84566379       1597.99670    
   1085.77002       3.92558050       1562.82800    
   1108.39001       4.00537062       1529.03516    
   1131.01001       4.08503675       1496.53479    
   1153.63000       4.16457558       1465.24841    
   1176.25000       4.24398565       1435.10718    
   1198.87109       4.32326651       1406.04224    
   1221.49109       4.40240860       1377.99719    
   1221.49109       4.40240860       1377.99719    
   1264.10303       4.53047943       1321.82483    
   1306.71606       4.65938663       1269.88757    
   1349.32812       4.78894901       1221.67249    
   1391.94104       4.91902018       1176.74390    
   1434.55408       5.04946661       1134.73572    
   1477.16602       5.18017054       1095.33606    
   1519.77905       5.31103706       1058.27454    
   1562.39111       5.44196844       1023.32050    
   1605.00403       5.57289028       990.270203    
   1647.61707       5.70372915       958.949524    
   1690.22913       5.83441591       929.203186    
   1732.84204       5.96489477       900.894348    
   1775.45410       6.09510660       873.903748    
   1818.06714       6.22500610       848.122314    
   1860.68005       6.35454464       823.455750    
   1903.29211       6.48367167       799.818298    
   1945.90515       6.61235523       777.132751    
   1988.51709       6.74055004       755.330261    
   2031.13013       6.86822367       734.347656    
   2073.74219       6.99533558       714.129395    
   2116.35498       7.12185812       694.623108    
   2158.96802       7.24775410       675.782166    
   2201.58008       7.37299013       657.565002    
   2244.19312       7.49754333       639.931274    
   2286.80518       7.62137699       622.846680    
   2329.41821       7.74446583       606.277527    
   2372.03101       7.86678171       590.194214    
   2414.64307       7.98829126       574.569458    
   2457.25610       8.10897350       559.377197    
   2499.86816       8.22879791       544.595215    
   2542.48120       8.34774208       530.200500    
   2585.09302       8.46577072       516.174072    
   2627.70605       8.58286762       502.496674    
   2670.31909       8.69900227       489.151703    
   2712.93115       8.81414413       476.123291    
   2755.54419       8.92827606       463.396576    
   2798.15625       9.04136372       450.957916    
   2840.76904       9.15338898       438.794495    
   2883.38208       9.26432133       426.894623    
   2925.99414       9.37413406       415.247650    
   2968.60718       9.48280621       403.842804    
   3011.21924       9.59030533       392.671265    
   3053.83203       9.69661236       381.723297    
   3096.44409       9.80169773       370.991577    
   3139.05713       9.90553570       360.467834    
   3181.67017       10.0081015       350.145233    
   3224.28223       10.1093636       340.017242    
   3266.89526       10.2093039       330.077271    
   3309.50708       10.3078871       320.320007    
   3352.12012       10.4050961       310.739807    
   3394.73315       10.5008955       301.331940    
