# D		g	P(Gpa)
0        9.82442474  0
1.49951  9.82442474  0.0150104528  
2.99951  9.82777023  0.0300514493  
2.99951  9.82777023  0.0300514493  
8.99951  9.83322239  0.183493927  
14.99951  9.83869934  0.337444186  
14.99951  9.83869934  0.337444186  
19.68555  9.84181786  0.471753687  
24.37061  9.84494972  0.60632205  
24.37061  9.84494972  0.60632205  
42.91357  9.8500185  1.22869384  
61.45654  9.85531616  1.85506141  
79.99951  9.86084747  2.48550749  
79.99951  9.86084747  2.48550749  
103.33252  9.86814499  3.28476071  
126.6665  9.87582111  4.090837  
149.99951  9.88387966  4.90393066  
173.33252  9.89233112  5.72416067  
196.6665  9.90117455  6.55188322  
219.99951  9.91042137  7.38714933  
219.99951  9.91042137  7.38714933  
242.49951  9.91812706  8.21755028  
264.99951  9.92590237  9.05860233  
287.49951  9.93375206  9.91049576  
309.99951  9.94167995  10.7732954  
332.49951  9.94968414  11.6473255  
354.99951  9.95777321  12.5326414  
377.49951  9.9659481  13.4294586  
399.99951  9.97421169  14.3379498  
399.99951  9.97421169  14.3379498  
424.99951  9.97952557  15.4024258  
449.99951  9.98457718  16.484972  
474.99951  9.98936558  17.585741  
499.99951  9.99389076  18.7048969  
524.99951  9.99815655  19.8426762  
549.99951  10.002162  20.9991627  
574.99951  10.005908  22.1746216  
599.99951  10.0093985  23.369215  
599.99951  10.0093985  23.369215  
623.33252  10.012661  24.4993324  
646.6665  10.0161734  25.6421413  
669.99951  10.0199423  26.7978172  
669.99951  10.0199423  26.7978172  
695.24951  10.0159464  28.139679  
720.49951  10.0119801  29.4977665  
745.74951  10.0080452  30.8723049  
770.99951  10.0041494  32.263546  
770.99951  10.0041494  32.263546  
803.83252  9.99915504  34.0980721  
836.6665  9.99424553  35.9620399  
869.49951  9.9894371  37.8559837  
902.33252  9.98474121  39.7806892  
935.1665  9.98017216  41.736908  
967.99951  9.97574043  43.7253418  
1000.83252  9.97145939  45.7468185  
1033.6665  9.96734524  47.8022308  
1066.49951  9.96341228  49.8923492  
1099.33252  9.95967484  52.0181465  
1132.16699  9.95614243  54.1806564  
1164.99951  9.95283604  56.380764  
1197.83252  9.94976807  58.6195488  
1230.66699  9.94695473  60.8982697  
1263.5  9.94441223  63.2178535  
1296.33252  9.94215679  65.5796204  
1329.16699  9.94020462  67.9848785  
1362.0  9.93857288  70.4348373  
1394.83252  9.93728161  72.9309921  
1427.66699  9.9363451  75.4747543  
1460.5  9.93578625  78.0676041  
1493.33301  9.93562031  80.7112122  
1526.16699  9.93587017  83.4073029  
1559.0  9.936553  86.1574249  
1591.83301  9.93769264  88.9635468  
1624.66699  9.93930912  91.8276672  
1657.5  9.94142532  94.751709  
1690.33301  9.94406319  97.7377167  
1723.16699  9.94724464  100.7882  
1756.0  9.95099735  103.905136  
1788.83301  9.9553442  107.091194  
1821.66699  9.96031189  110.348991  
1854.5  9.96592331  113.681  
1887.33301  9.97220993  117.090279  
1920.16699  9.97920036  120.579834  
1953.0  9.98692226  124.152534  
1985.83301  9.9954052  127.811974  
2018.66699  10.0046816  131.5616  
2051.5  10.0147839  135.404892  
2084.33301  10.0257444  139.345749  
2117.16699  10.0375996  143.388458  
2150.0  10.0503855  147.537033  
2182.83301  10.0641384  151.795959  
2215.66699  10.0788984  156.170273  
2248.5  10.0947027  160.664764  
2281.33276  10.1115971  165.284714  
2314.16675  10.1296225  170.035919  
2346.99976  10.1488247  174.92395  
2379.83276  10.1692495  179.9552  
2412.66675  10.1909485  185.136444  
2445.49976  10.2139683  190.474228  
2478.33276  10.2383652  195.976318  
2511.16675  10.2641916  201.650452  
2543.99976  10.2915068  207.50473  
2576.83276  10.3203688  213.547958  
2609.66675  10.3508406  219.789597  
2642.49976  10.3829851  226.239288  
2675.33276  10.416872  232.907455  
2708.16675  10.4525728  239.805527  
2740.99976  10.4901581  246.944946  
2740.99976  10.4901581  246.944946  
2778.51074  10.5355062  255.413239  
2816.02075  10.583539  264.232941  
2853.53174  10.6343803  273.425934  
2891.04175  10.6881647  283.014618  
2891.04175  10.6881647  283.014618  
2933.65479  10.5952587  292.091614  
2976.26685  10.5008955  301.33194  
3018.87988  10.4050961  310.739807  
3061.49292  10.3078871  320.320007  
3104.10474  10.2093039  330.077271  
3146.71777  10.1093636  340.017242  
3189.32983  10.0081015  350.145233  
3231.94287  9.9055357  360.467834  
3274.55591  9.80169773  370.991577  
3317.16797  9.69661236  381.723297  
3359.78076  9.59030533  392.671265  
3402.39282  9.48280621  403.842804  
3445.00586  9.37413406  415.24765  
3487.61792  9.26432133  426.894623  
3530.23096  9.15338898  438.794495  
3572.84375  9.04136372  450.957916  
3615.45581  8.92827606  463.396576  
3658.06885  8.81414413  476.123291  
3700.68091  8.69900227  489.151703  
3743.29395  8.58286762  502.496674  
3785.90698  8.46577072  516.174072  
3828.5188  8.34774208  530.2005  
3871.13184  8.22879791  544.595215  
3913.7439  8.1089735  559.377197  
3956.35693  7.98829126  574.569458  
3998.96899  7.86678171  590.194214  
4041.58179  7.74446583  606.277527  
4084.19482  7.62137699  622.84668  
4126.80688  7.49754333  639.931274  
4169.41992  7.37299013  657.565002  
4212.03198  7.2477541  675.782166  
4254.64502  7.12185812  694.623108  
4297.25781  6.99533558  714.129395  
4339.86987  6.86822367  734.347656  
4382.48291  6.74055004  755.330261  
4425.09485  6.61235523  777.132751  
4467.70789  6.48367167  799.818298  
4510.31995  6.35454464  823.45575  
4552.93286  6.2250061  848.122314  
4595.5459  6.0951066  873.903748  
4638.15796  5.96489477  900.894348  
4680.77087  5.83441591  929.203186  
4723.38293  5.70372915  958.949524  
4765.99597  5.57289028  990.270203  
4808.60889  5.44196844  1023.3205  
4851.22095  5.31103706  1058.27454  
4893.83398  5.18017054  1095.33606  
4936.44592  5.04946661  1134.73572  
4979.05896  4.91902018  1176.7439  
5021.67188  4.78894901  1221.67249  
5064.28394  4.65938663  1269.88757  
5106.89697  4.53047943  1321.82483  
5149.50891  4.4024086  1377.99719  
5149.50891  4.4024086  1377.99719  
5172.12891  4.32326651  1406.04224  
5194.75  4.24398565  1435.10718  
5217.37  4.16457558  1465.24841  
5239.98999  4.08503675  1496.53479  
5262.60999  4.00537062  1529.03516  
5285.22998  3.9255805  1562.828  
5307.85095  3.84566379  1597.9967  
5330.47095  3.76563096  1634.62817  
5353.09094  3.68548131  1672.82434  
5375.710938  3.60521698  1712.6908  
5398.330933  3.52484107  1754.34619  
5420.951965  3.44435167  1797.92029  
5443.57196  3.36375833  1843.55127  
5466.191956  3.28306127  1891.39539  
5488.811951  3.20226145  1941.62427  
5511.431946  3.12136269  1994.42725  
5534.052979  3.04036236  2050.01611  
5556.672974  2.95927167  2108.61987  
5579.292969  2.878088  2170.49927  
5601.912964  2.79681492  2235.94458  
5624.532959  2.71545506  2305.28223  
5647.153992  2.63400626  2378.88013  
5669.773987  2.55247879  2457.14526  
5692.393982  2.47087121  2540.54858  
5715.013977  2.38918614  2629.62354  
5737.633972  2.30742598  2724.97754  
5760.254944  2.2255888  2827.31348  
5782.875  2.14368486  2937.42969  
5805.494995  2.06171227  3056.26221  
5828.11499  1.97967434  3184.90356  
5850.734985  1.89757228  3324.6311  
5873.355988  1.81540489  3476.96436  
5895.975983  1.73318124  3643.68555  
5918.595978  1.65090013  3826.96045  
5941.215973  1.56856298  4029.39673  
5963.835968  1.48617148  4254.18115  
5986.45697  1.40372348  4505.26025  
6009.076996  1.32122767  4787.5249  
6031.696991  1.23868108  5107.20166  
6054.316986  1.1560843  5472.27588  
6076.936981  1.07343674  5893.16699  
6099.557983  0.990733624  6383.7749  
6122.177994  0.907979548  6962.92383  
6144.797989  0.825166225  7656.96826  
6167.417984  0.742285848  8503.80371  
6190.037994  0.659325063  9559.95117  
6212.658997  0.576258242  10913.6221  
6235.278992  0.493054152  12709.9824  
6257.898994  0.409637809  15206.0254  
6280.5189972  0.325863957  18900.4883  
6303.1389999  0.241390258  24890.4238  
6325.7599983  0.15518117  36003.75  
6368.3799992  0.0620734245  57606.9336  
