# AK135 Kennett, Engdahl & Buland (1995) 
# Depth(m) 	 Radius(m) 	 Density(g/m^3) 	 Vp(m/s) 	 Vs(m/s) 	 Qmu 	 Qk
0.000000e+00	6.371000e+06	1.020000e+03	1.450000e+03	1.00000e+03	0.000000e+00	5.782200e+04
3.000000e+03	6.368000e+06	1.020000e+03	1.450000e+03	1.00000e+03	0.000000e+00	5.782200e+04
3.000000e+03	6.368000e+06	2.000000e+03	1.650000e+03	1.000000e+03	8.000000e+01	1.633500e+02
3.300000e+03	6.367700e+06	2.000000e+03	1.650000e+03	1.000000e+03	8.000000e+01	1.633500e+02
3.300000e+03	6.367700e+06	2.600000e+03	5.800000e+03	3.200000e+03	5.999900e+02	1.478300e+03
1.000000e+04	6.361000e+06	2.600000e+03	5.800000e+03	3.200000e+03	5.999900e+02	1.478300e+03
1.000000e+04	6.361000e+06	2.920000e+03	6.800000e+03	3.900000e+03	5.999900e+02	1.368020e+03
1.800000e+04	6.353000e+06	2.920000e+03	6.800000e+03	3.900000e+03	5.999900e+02	1.368020e+03
1.800000e+04	6.353000e+06	3.641000e+03	8.035500e+03	4.483900e+03	3.946200e+02	9.505000e+02
4.300000e+04	6.328000e+06	3.580100e+03	8.037900e+03	4.485600e+03	4.039300e+02	9.727700e+02
8.000000e+04	6.291000e+06	3.502000e+03	8.040000e+03	4.480000e+03	4.175900e+02	1.008710e+03
8.000000e+04	6.291000e+06	3.502000e+03	8.045000e+03	4.490000e+03	7.560000e+01	1.820300e+02
1.200000e+05	6.251000e+06	3.426800e+03	8.050500e+03	4.500000e+03	7.606000e+01	1.825700e+02
1.200000e+05	6.251000e+06	3.426800e+03	8.050500e+03	4.500000e+03	7.606000e+01	1.825700e+02
1.650000e+05	6.206000e+06	3.371100e+03	8.175000e+03	4.509000e+03	7.655000e+01	1.887200e+02
2.100000e+05	6.161000e+06	3.324300e+03	8.300700e+03	4.518400e+03	7.940000e+01	2.009700e+02
2.100000e+05	6.161000e+06	3.324300e+03	8.300700e+03	4.518400e+03	1.337200e+02	3.384700e+02
2.600000e+05	6.111000e+06	3.366300e+03	8.482200e+03	4.609400e+03	1.363800e+02	3.463700e+02
3.100000e+05	6.061000e+06	3.411000e+03	8.665000e+03	4.696400e+03	1.393800e+02	3.558500e+02
3.600000e+05	6.011000e+06	3.457700e+03	8.847600e+03	4.783200e+03	1.427600e+02	3.663400e+02
4.100000e+05	5.961000e+06	3.506800e+03	9.030200e+03	4.870200e+03	1.465700e+02	3.779300e+02
4.100000e+05	5.961000e+06	3.931700e+03	9.360100e+03	5.080600e+03	1.625000e+02	4.136600e+02
4.600000e+05	5.911000e+06	3.927300e+03	9.528000e+03	5.186400e+03	1.648700e+02	4.173200e+02
5.100000e+05	5.861000e+06	3.923300e+03	9.696200e+03	5.292200e+03	1.668000e+02	4.199400e+02
5.600000e+05	5.811000e+06	3.921800e+03	9.864000e+03	5.398900e+03	1.687800e+02	4.225500e+02
6.100000e+05	5.761000e+06	3.920600e+03	1.003200e+04	5.504700e+03	1.708200e+02	4.255100e+02
6.600000e+05	5.711000e+06	3.920100e+03	1.020000e+04	5.610400e+03	1.729300e+02	4.286900e+02
6.600000e+05	5.711000e+06	4.238700e+03	1.079090e+04	5.960700e+03	5.494500e+02	1.350540e+03
7.100000e+05	5.661000e+06	4.298600e+03	1.092220e+04	6.089800e+03	5.434800e+02	1.311170e+03
7.600000e+05	5.611000e+06	4.356500e+03	1.105530e+04	6.210000e+03	5.376300e+02	1.277930e+03
8.095000e+05	5.561500e+06	4.411800e+03	1.113550e+04	6.242400e+03	5.319100e+02	1.269440e+03
8.590000e+05	5.512000e+06	4.465000e+03	1.122280e+04	6.279900e+03	5.263200e+02	1.260680e+03
9.085000e+05	5.462500e+06	4.516200e+03	1.130680e+04	6.316400e+03	5.208300e+02	1.251690e+03
9.580000e+05	5.413000e+06	4.565400e+03	1.138970e+04	6.351900e+03	5.154600e+02	1.243020e+03
1.007500e+06	5.363500e+06	4.592600e+03	1.147040e+04	6.386000e+03	5.102000e+02	1.234540e+03
1.057000e+06	5.314000e+06	4.619800e+03	1.154930e+04	6.418200e+03	5.050500e+02	1.226520e+03
1.106500e+06	5.264500e+06	4.646700e+03	1.162650e+04	6.451400e+03	5.000000e+02	1.217910e+03
1.156000e+06	5.215000e+06	4.673500e+03	1.170200e+04	6.482200e+03	4.950500e+02	1.210020e+03
1.205500e+06	5.165500e+06	4.700100e+03	1.177680e+04	6.513100e+03	4.902000e+02	1.202040e+03
1.255000e+06	5.116000e+06	4.726600e+03	1.184910e+04	6.543100e+03	4.854400e+02	1.193990e+03
1.304500e+06	5.066500e+06	4.752800e+03	1.192080e+04	6.572800e+03	4.807700e+02	1.186060e+03
1.354000e+06	5.017000e+06	4.779000e+03	1.198910e+04	6.600900e+03	4.761900e+02	1.178190e+03
1.403500e+06	4.967500e+06	4.805000e+03	1.205710e+04	6.628500e+03	4.717000e+02	1.170530e+03
1.453000e+06	4.918000e+06	4.830700e+03	1.212470e+04	6.655400e+03	4.672900e+02	1.163160e+03
1.502500e+06	4.868500e+06	4.856200e+03	1.219120e+04	6.681300e+03	4.629600e+02	1.156040e+03
1.552000e+06	4.819000e+06	4.881700e+03	1.225580e+04	6.707000e+03	4.587200e+02	1.148760e+03
1.601500e+06	4.769500e+06	4.906900e+03	1.231810e+04	6.732300e+03	4.545500e+02	1.141320e+03
1.651000e+06	4.720000e+06	4.932100e+03	1.238130e+04	6.757900e+03	4.504500e+02	1.134010e+03
1.700500e+06	4.670500e+06	4.957000e+03	1.244270e+04	6.782000e+03	4.464300e+02	1.127020e+03
1.750000e+06	4.621000e+06	4.981700e+03	1.250300e+04	6.805600e+03	4.424800e+02	1.120090e+03
1.799500e+06	4.571500e+06	5.006200e+03	1.256380e+04	6.828900e+03	4.366800e+02	1.108580e+03
1.849000e+06	4.522000e+06	5.030600e+03	1.262260e+04	6.851700e+03	4.310300e+02	1.097160e+03
1.898500e+06	4.472500e+06	5.054800e+03	1.268070e+04	6.874300e+03	4.255300e+02	1.085970e+03
