# Depth(km) density(g/cm^3) P-velocity(km/s) S-velocity(km/s)
0 1.02 1.45 0
1.5 1.02 1.45 0
3 1.02 1.45 0
3 2.6 5.8 3.2
9 2.6 5.8 3.2
15 2.6 5.8 3.2
15 2.9 6.8 3.9
19.686 2.9 6.8 3.9
24.371 2.9 6.8 3.9
24.371 3.38076 8.02213 4.39603
42.914 3.37874 8.00112 4.4003
61.457 3.37673 7.98011 4.40457
80 3.37471 7.9591 4.40885
80 3.37471 7.9591 4.40885
103.333 3.37217 7.93267 4.41422
126.667 3.36964 7.90623 4.4196
150 3.3671 7.8798 4.42497
173.333 3.36457 7.85336 4.43035
196.667 3.36203 7.82693 4.43573
220 3.35949 7.80049 4.4411
220.1 3.43577 8.55895 4.6439
242.5 3.44921 8.60223 4.65965
265 3.46264 8.64552 4.6754
287.5 3.47608 8.68881 4.69115
310 3.48951 8.73209 4.7069
332.5 3.50295 8.77538 4.72265
355 3.51639 8.81867 4.7384
377.5 3.52982 8.86195 4.75415
400 3.54326 8.90524 4.7699
400.1 3.72376 9.13392 4.93256
425 3.75527 9.26191 5.00549
450 3.78678 9.3899 5.07842
475 3.81829 9.51789 5.15135
500 3.8498 9.64588 5.22428
525 3.88131 9.77386 5.29721
550 3.91282 9.90185 5.37014
575 3.94433 10.0298 5.44307
600 3.97584 10.1578 5.516
600.1 3.97584 10.1578 5.51602
623.333 3.98127 10.194 5.53408
646.667 3.9867 10.2301 5.55214
670 3.99214 10.2662 5.57021
670.1 4.3807 10.7513 5.94505
695.25 4.39644 10.8299 6.01888
720.5 4.4121 10.9085 6.09272
745.75 4.42767 10.987 6.16658
771 4.44317 11.0656 6.24046
771 4.44317 11.0656 6.24046
803.833 4.46319 11.1254 6.26396
836.667 4.48307 11.1843 6.2871
869.5 4.50282 11.2423 6.30988
902.333 4.52245 11.2993 6.33231
935.167 4.54194 11.3554 6.3544
968 4.56131 11.4106 6.37615
1000.83 4.58056 11.4649 6.39758
1033.67 4.59968 11.5184 6.41869
1066.5 4.61869 11.5711 6.43949
1099.33 4.63759 11.623 6.45999
1132.17 4.65637 11.6741 6.48019
1165 4.67504 11.7245 6.5001
1197.83 4.6936 11.7741 6.51973
1230.67 4.71206 11.823 6.53908
1263.5 4.73042 11.8712 6.55817
1296.33 4.74867 11.9187 6.57701
1329.17 4.76683 11.9656 6.59559
1362 4.7849 12.0119 6.61393
1394.83 4.80287 12.0575 6.63203
1427.67 4.82075 12.1026 6.64991
1460.5 4.83855 12.1471 6.66757
1493.33 4.85626 12.1911 6.68501
1526.17 4.87389 12.2346 6.70226
1559 4.89143 12.2776 6.7193
1591.83 4.9089 12.3201 6.73615
1624.67 4.9263 12.3621 6.75283
1657.5 4.94363 12.4038 6.76933
1690.33 4.96088 12.445 6.78566
1723.17 4.97807 12.4858 6.80183
1756 4.99519 12.5263 6.81785
1788.83 5.01225 12.5664 6.83373
1821.67 5.02925 12.6062 6.84947
1854.5 5.0462 12.6457 6.86509
1887.33 5.06309 12.685 6.88058
1920.17 5.07993 12.724 6.89596
1953 5.09672 12.7627 6.91124
1985.83 5.11346 12.8013 6.92641
2018.67 5.13016 12.8396 6.9415
2051.5 5.14682 12.8778 6.9565
2084.33 5.16343 12.9159 6.97143
2117.17 5.18001 12.9538 6.98629
2150 5.19656 12.9916 7.00109
2182.83 5.21308 13.0294 7.01584
2215.67 5.22956 13.0671 7.03055
2248.5 5.24602 13.1048 7.04522
2281.33 5.26246 13.1424 7.05985
2314.17 5.27887 13.18 7.07447
2347 5.29527 13.2177 7.08907
2379.83 5.31165 13.2555 7.10367
2412.67 5.32801 13.2933 7.11827
2445.5 5.34436 13.3312 7.13287
2478.33 5.36071 13.3692 7.14749
2511.17 5.37705 13.4074 7.16214
2544 5.39338 13.4458 7.17682
2576.83 5.40971 13.4843 7.19153
2609.67 5.42605 13.523 7.2063
2642.5 5.44239 13.562 7.22112
2675.33 5.45873 13.6012 7.236
2708.17 5.47509 13.6406 7.25095
2741 5.49145 13.6804 7.26597
2741 5.49145 13.6804 7.26597
2778.51 5.51016 13.6893 7.26569
2816.02 5.5289 13.6983 7.26538
2853.53 5.54766 13.7074 7.26503
2891.04 5.56645 13.7166 7.26466
